epoch,train_loss,val_loss,train_acc,val_acc
1,0.4710,0.4226,0.8882,0.8990
2,0.3614,0.3084,0.9530,0.9791
3,0.3050,0.2718,0.9730,0.9826
4,0.2651,0.2445,0.9822,0.9826
5,0.2394,0.4034,0.9809,0.8571
6,0.2376,0.2028,0.9678,0.9826
7,0.1881,0.1796,0.9878,0.9861
8,0.1919,0.1592,0.9752,0.9861
9,0.1476,0.1506,0.9926,0.9826
10,0.1261,0.1117,0.9965,1.0000
11,0.1099,0.1013,0.9991,1.0000
12,0.0988,0.0904,0.9991,1.0000
13,0.0895,0.0820,0.9991,1.0000
14,0.0815,0.0746,0.9991,1.0000
15,0.0746,0.0682,0.9991,1.0000
16,0.0685,0.0626,0.9991,1.0000
17,0.0631,0.0576,0.9991,1.0000
18,0.0584,0.0531,0.9991,1.0000
19,0.0542,0.0492,0.9991,1.0000
20,0.0504,0.0456,0.9991,1.0000
21,0.0471,0.0424,0.9991,1.0000
22,0.0441,0.0396,0.9991,1.0000
23,0.0413,0.0370,0.9991,1.0000
24,0.0389,0.0346,0.9991,1.0000
25,0.0366,0.0324,0.9991,1.0000
26,0.0346,0.0305,0.9991,1.0000
27,0.0327,0.0286,0.9991,1.0000
28,0.0310,0.0270,0.9991,1.0000
29,0.0294,0.0254,0.9991,1.0000
30,0.0280,0.0240,0.9991,1.0000
