epoch,train_loss,val_loss,train_acc,val_acc
1,0.7231,0.5405,0.9252,0.8885
2,0.6450,0.6566,0.9121,0.6725
3,0.5193,0.3660,0.9595,0.9791
4,0.4627,0.2690,0.9717,0.9930
5,0.3342,0.2296,0.9956,0.9965
6,0.3220,0.2252,0.9930,0.9965
7,0.2738,0.1852,0.9956,1.0000
8,0.1843,0.1609,0.9996,1.0000
9,0.1615,0.1445,1.0000,1.0000
10,0.1449,0.1303,1.0000,1.0000
11,0.1306,0.1179,1.0000,1.0000
12,0.1180,0.1071,1.0000,1.0000
13,0.1070,0.0977,1.0000,1.0000
14,0.0974,0.0893,1.0000,1.0000
15,0.0891,0.0819,1.0000,1.0000
16,0.0816,0.0754,1.0000,1.0000
17,0.0750,0.0695,1.0000,1.0000
18,0.0692,0.0643,1.0000,1.0000
19,0.0640,0.0595,1.0000,1.0000
20,0.0592,0.0553,1.0000,1.0000
21,0.0550,0.0514,1.0000,1.0000
22,0.0512,0.0480,1.0000,1.0000
23,0.0477,0.0448,1.0000,1.0000
24,0.0445,0.0419,1.0000,1.0000
25,0.0416,0.0393,1.0000,1.0000
26,0.0390,0.0368,1.0000,1.0000
27,0.0365,0.0346,1.0000,1.0000
28,0.0343,0.0326,1.0000,1.0000
29,0.0323,0.0307,1.0000,1.0000
30,0.0304,0.0290,1.0000,1.0000
